Economy,Economy code,ACCESSING INSTITUTIONS SCORE,Are married women required by law to obey their husbands?,Can a woman legally apply for a passport in the same way as a man?,Can a woman legally apply for a national ID card in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way  as a man?,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a man?,Can a woman legally open a bank account in the same way as a man?,Can a woman legally get job or pursue a trade or profession in the same way as a man?,"Can a woman legally be ""head of household"" or ""head of family"" in the same way as a man?",USING PROPERTY SCORE,Who legally administers marital property?,Does the law provide for valuation of nonmonetary contributions?,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,GOING TO COURT SCORE,Does a woman’s testimony carry the same evidentiary weight in court as a man's?,Does the law establish an anti-discrimination commission? ,Does the law mandate legal aid in civil and family matters? ,Is there a small claims court or a fast-track procedure for small claims?,PROVIDING INCENTIVES TO WORK SCORE,Are mothers guaranteed an equivalent position after maternity leave?,Does the government support or provide childcare services?,Are payments for childcare tax deductible?,Are there specific tax deductions or tax credits that are only applicable to men?,Is primary education free and compulsory? ,BUILDING CREDIT SCORE,Do retailers provide information to private credit bureaus or public credit registries?,Do utility companies provide information to private credit bureaus or public credit registries?,Does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?,Does the law prohibit discrimination by creditors on the basis of marital status in access to credit?,GETTING A JOB SCORE,Is there paid leave available to women of at least 14 weeks?,Do women receive at least 2/3 of their wages for the first 14 weeks or the duration of the leave if it is shorter?,What is the percentage of maternity leave benefits paid by the government?,"What is the difference between leave reserved for women and men relative to leave reserved for women, as a function of who pays?",Is there paid parental leave?,Does the law mandate equal remuneration for work of equal value?,Does the law mandate nondiscrimination based on gender in employment?,Is dismissal of pregnant workers prohibited?,Can parents work flexibly?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men? ",Are women able to work in the same industries as men?,Are women able to perform the same tasks at work as men? ,Are the ages at which men and women can retire with full pension benefits equal? ,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?, PROTECTING WOMEN FROM VIOLENCE SCORE,"Is there legislation specifically addressing domestic violence? If not, are there aggravated penalties for crimes committed against a spouse or family member?",Is there legislation on sexual harassment in employment?,Is there legislation on sexual harassment in education?,Are there criminal penalties for sexual harassment in employment?,Are there  civil remedies for sexual harassment in employment?
Côte d'Ivoire,CIV,100,1,1,1,1,1,1,1,1,1,1,1,60,0,1,0,1,1,75,1,1,1,0,60,1,1,0,1,0,0,0,0,0,0,80,1.0,1.0,1,1,0,1,1,1,0,1,0,1,1,1,1,..,40,0.0,1,0,1,0
Croatia,HRV,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,0,0,1,1,93,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,..,..,100,1.0,1,1,1,1
Cyprus,CYP,91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,25,0,0,1,0,80,1.0,1.0,1,1,0,1,1,1,0,1,1,0,1,1,1,..,80,1.0,1,0,1,1
Czech Republic,CZE,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,100,1,1,1,1,1,25,0,0,1,0,93,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,..,80,1.0,1,1,0,1
Denmark,DNK,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,91,1.0,0.75,1,1,1,1,1,1,0,1,1,1,1,1,..,..,80,1.0,1,0,1,1
Djibouti,DJI,82,0,1,1,1,1,1,1,1,1,1,0,40,1,0,1,0,0,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,75,1.0,1.0,0.5,0.52,0,1,1,1,0,1,1,1,1,0.5,..,..,10,0.5,0,0,0,0
Dominica,DMA,90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,80,1,1,0,1,1,0,0,0,0,0,46,0.86,1.0,0.8,0.8,0,0,0,0,0,1,1,0,0,1,..,..,20,1.0,0,0,0,0
Dominican Republic,DOM,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,100,1,1,1,1,1,75,1,1,1,0,72,0.86,1.0,0.5,0.51,0,0,1,1,0,1,1,1,1,1,1,..,100,1.0,1,1,1,1
Ecuador,ECU,100,1,1,1,1,1,1,1,1,1,1,1,80,1,1,0,1,1,75,1,1,0,1,80,0,1,1,1,1,50,1,1,0,0,74,0.86,1.0,0.75,0.78,0,1,1,1,0,1,1,1,0,1,..,..,100,1.0,1,1,1,1
"Egypt, Arab Rep.",EGY,64,0,0,0,1,0,1,1,1,1,1,1,40,1,0,1,0,0,75,1,1,0,1,60,0,1,0,1,1,25,1,0,0,0,59,0.92,1.0,0.75,0.75,0,0,1,1,0,1,0,0,0,1,1,1,60,0.0,1,1,1,0
El Salvador,SLV,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,74,0.86,1.0,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,80,1.0,1,1,1,0
Equatorial Guinea,GNQ,73,0,1,1,1,1,0,0,1,1,1,1,60,0,1,0,1,1,25,1,0,0,0,80,1,1,0,1,1,0,0,0,0,0,78,0.86,1.0,1,1,0,1,1,1,0,1,1,1,0,1,..,..,0,0.0,0,0,0,0
Eritrea,ERI,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,60,1,0,0,1,1,0,0,0,0,0,59,0.61,1.0,0,0,0,0,1,1,0,1,1,1,1,..,..,..,60,0.0,1,1,1,0
Estonia,EST,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,75,1,1,1,0,93,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,..,70,0.5,1,1,0,1
Eswatini,SWZ,100,1,1,1,1,1,1,1,1,1,1,1,75,1,1,1,0,..,75,1,1,0,1,40,1,0,0,1,0,50,1,1,0,0,51,0.14,1.0,0,0,0,0,1,1,0,1,1,0,1,1,..,..,0,0.0,1,1,1,0
Ethiopia,ETH,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,20,0,0,0,1,0,0,0,0,0,0,46,0.92,1.0,0,0,0,0,1,1,0,1,0,0,0,1,1,..,80,1.0,1,1,0,1
Fiji,FJI,90,1,0,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,1,1,0,1,0,50,1,1,0,0,56,0.86,1.0,0,0,0,0,1,1,0,1,1,0,1,1,..,..,80,1.0,1,1,1,1
Finland,FIN,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,0,0,1,0,97,1.0,1.0,0.7,0.86,1,1,1,1,1,1,1,1,1,1,1,..,100,1.0,1,0,1,0
France,FRA,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,50,0,0,1,1,88,1.0,1.0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,60,1.0,0,0,0,0
Gabon,GAB,55,0,0,1,1,1,0,1,1,1,0,0,60,0,1,0,1,1,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,73,1.0,1.0,1,1,0,0,1,1,0,1,1,0,1,1,..,1,0,0.0,0,1,0,0
"Gambia, The",GMB,100,1,1,1,1,1,1,1,1,1,1,1,60,1,1,1,0,0,75,1,0,1,1,60,1,0,0,1,1,0,0,0,0,0,67,1.0,1.0,0,0.06,0,0,1,1,0,1,1,1,1,1,1,..,40,1.0,1,0,0,0
Georgia,GEO,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,60,0,1,0,1,1,25,0,1,0,0,75,1.0,1.0,1,1,0,0,1,1,0,1,1,1,1,0.5,..,..,40,1.0,1,0,0,1
Germany,DEU,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,75,1,1,1,0,85,1.0,1.0,0.25,0.53,1,0,1,1,1,1,1,1,1,1,1,..,60,1.0,1,0,0,1
Ghana,GHA,100,1,1,1,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,1,0,60,0,1,0,1,1,0,0,0,0,0,59,0.86,1.0,0,0,0,0,1,1,0,1,1,0,1,1,1,..,60,1.0,1,0,1,1
Greece,GRC,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,0,1,1,80,1,1,0,1,1,25,0,0,1,0,93,1.0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,..,80,1.0,0,0,0,0
Grenada,GRD,90,1,0,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,75,1,1,0,1,60,0,1,0,1,1,0,0,0,0,0,81,0.92,1.0,0.74,0.74,0,1,1,1,0,1,1,1,1,1,..,..,20,1.0,0,0,0,0
Guatemala,GTM,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,1,1,0,0,69,0.86,1.0,1,1,0,0,0,1,0,1,0,1,1,1,..,..,20,1.0,0,0,0,0
Guinea,GIN,73,1,1,1,1,1,0,1,1,1,0,0,60,1,0,1,1,0,50,1,0,1,0,20,1,0,0,0,0,0,0,0,0,0,64,1.0,1.0,0.5,0.5,0,1,1,1,0,1,1,0,0,1,..,..,0,0.0,0,0,0,0
Guinea-Bissau,GNB,55,1,1,1,1,1,0,1,0,0,0,0,60,0,1,0,1,1,75,1,0,1,1,0,0,0,0,..,0,0,0,0,0,0,43,0.61,1.0,1,1,0,0,1,0,0,0,0,0,1,..,..,..,20,1.0,1,0,1,1
Guyana,GUY,91,1,0,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,0,0,1,60,0,1,0,1,1,50,0,0,1,1,78,0.93,1.0,1,1,0,1,1,1,0,1,1,1,0,1,..,..,80,1.0,0,0,0,0
Haiti,HTI,82,1,0,1,1,1,0,1,1,1,1,1,80,1,1,0,1,1,50,1,0,0,1,60,1,0,0,1,1,0,0,0,0,0,63,0.43,1.0,0,0,0,0,1,1,0,1,1,1,1,1,1,..,0,0.0,1,1,1,1
Honduras,HND,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,75,1,1,1,0,62,0.86,1.0,0.6699999999999999,0.67,0,0,1,1,0,1,0,1,1,0.5,..,..,100,1.0,1,1,0,1
"Hong Kong SAR, China",HKG,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,40,0,0,0,1,1,50,0,0,1,1,65,0.71,1.0,0,0.04,0,0,1,1,0,1,1,1,1,1,1,..,80,1.0,1,1,0,0
Hungary,HUN,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,50,0,0,1,1,87,1.0,1.0,1,1,1,0,1,1,0,1,1,1,1,1,1,..,60,1.0,1,1,1,1
Iceland,ISL,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,25,1,0,0,0,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,..,100,1.0,1,1,1,1
India,IND,100,1,1,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,100,1,1,1,1,40,0,0,0,1,1,0,0,0,0,0,39,0.86,1.0,0,0,0,0,1,1,0,0,0,0,0,1,1,..,100,1.0,0,0,0,0
Indonesia,IDN,91,1,1,1,1,1,1,1,1,1,1,0,60,1,1,1,0,0,50,1,0,1,0,20,0,0,0,0,1,0,0,0,0,0,64,0.92,1.0,0,0.02,0,0,1,1,0,1,1,1,1,1,..,..,20,1.0,0,0,0,0
